Username,Review,date,Rating,Total
Robert B.,"Diese Versicherung hatte als fast Einzige mein Neufahrzeug überhaupt versichert. Leider stiegen die geforderten Beträge jährlich sehr stark, weshalb ich auch wechseln musste.",4/15/2019 19:12,3,5
ursula z.,Gute Beratung am Telefon. Unterlagen wurden auch per Post zugesandt.,10/27/2017 10:43,4,5
Peter J.,Stabile Kosten.,10/2/2017 13:23,4,5
Jose Carlos M.,Alles ok,10/16/2018 16:19,5,5
Gerd K.,Ohne Probleme,2/20/2018 21:21,5,5
Heinrich Matthias S.,"vertragsunterlagen , preis leistung ,schnelligkeit.",9/7/2017 14:49,5,5
Klaus S.,alles top,11/27/2018 15:52,4,5
Hildegard v.,Bin mit allem voll zufrieden,10/29/2018 10:02,5,5
Regina K.,Punktabzug wegen Beitzragserhöhung in Folgejahr:-(,10/27/2018 13:09,3,5
Dusko G.,Einfach!,10/25/2018 6:29,4,5
Sandra P.,Sehr gute Zusammenarbeit und Kommunikation,10/24/2018 5:02,5,5
Sandra P.,Sehr guter Service und Kommunikation im Schadenfall,10/24/2018 5:02,5,5
Bernhard B.,keine vorkommnisse,10/23/2018 10:47,3,5
Irina W.,ist günstig,10/23/2018 10:31,5,5
Lalitha Angelica D.,Hatte Nichts was angefallen wäre,10/22/2018 17:14,5,5
Edeltraud S.,Leistungen und Preis,10/22/2018 13:41,5,5
Christopher S.,"2. Windschutzscheiben, gerissen aufgrund von Steinschlägen, kurz hintereinander hat die Teilkasko ohne Probleme und Unterstellungen  übernommen.",10/22/2018 11:04,4,5
Daniela B.,Es war ein rundum guter Service. Freundlich und zuvorkommende Mitarbeiter.,10/21/2018 22:27,5,5
Robert B.,"Verständliche Vertragsunterlagen, schnelle Abwicklung des Wechsels, sehr gutes Preis-Leistungsverhältnis, keine penetranten Werbe- und/oder Kommunikations-Emails seit Vertragsstart.",10/21/2018 14:05,5,5
Gabriela S.,"der Preis stimmt,lange Bearbeitung auf onelinfragen ich habe ewig auf eine Antwort gewartet",10/21/2018 11:29,4,5
Elham M.,Gutes preisleistungsverhältnis,10/21/2018 9:08,4,5
Rainer W.,der Wechsel ging zügig ohne Komplikationen über die Bühne!!,10/20/2018 20:14,5,5
Ellen N.,Noch keine Erfahrungen gesammelt,10/20/2018 13:19,3,5
Heinz-Theo P.,Verstaendlichkeit der Vertragsunterlagen,10/20/2018 12:31,4,5
Thomas B.,Schnelle und unkomplizierte Regulierung (vollkasko),10/20/2018 9:12,5,5
Michael E.,Bisher gab es keine Probleme,10/20/2018 7:31,5,5
Liane K.,Ryd ist toll!,10/19/2018 22:15,4,5
Frank D.,Sehr guts Preis-/Leistungsverhältnis,10/19/2018 20:37,5,5
Bernd K.,Preis - Leistungsverhältnis sehr gut,10/19/2018 18:43,5,5
Irmgard S.,Super Ablauf,10/19/2018 18:19,5,5
Horst G.,Problemloser Vertragsabschluss,10/19/2018 16:58,5,5
stefan g.,es kommt zu keine vetrag,10/19/2018 16:53,1,5
Nina W.,Ist alles ok,10/19/2018 15:43,5,5
Olivia B.,"Da alles online bearbeitet wird ist eine Einschätzung der Leistungen für mich nicht relevant 
Die Bearbeitung meines Vertrages war mit großer Zeitverzögerung verbunden das hat mir überhaupt nicht gefallen.",10/19/2018 15:06,3,5
Cornelia S.,Sehr gute und umfangreiche Leistungen,10/19/2018 14:06,5,5
dieter t.,io,10/19/2018 13:39,4,5
dieter t.,io,10/19/2018 13:39,4,5
Marcel S.,Problemlos und zügig die nummer zum anmelden bekommen. Alle papiere schnell gesendet.,10/19/2018 13:32,5,5
Ralf T.,Preis,10/19/2018 12:57,3,5
Wolfgang C.,Günstiger Jahresbeitrag und einen Bonus von Check24.,10/19/2018 12:44,4,5
Frank H.,War alles p.k,10/19/2018 10:43,4,5
Stanley W.,Preis-/Leistung,10/19/2018 9:01,4,5
Azad A.,Nichts,10/19/2018 8:40,2,5
Ana Cruz C.,Nicht gut gefallen hat mir das sie die Schadensfreirabatt nicht gewährt hat aufgrund das die alte Versicherung mist gebaut hatte,10/19/2018 7:14,3,5
Monika F.,"Unkomplizierte Abwicklung während der Laufzeit und auch bei Kündigung. 
Kein Schadenfall, daher keine Aussage zum Schadenservice möglich.",10/19/2018 7:04,4,5
Schuster A.,Preis/Leistung,10/19/2018 5:40,5,5
Sebastian P.,"Gutes Preis-Leistungsverhältnis. Kostenloser Fahrzeugdongle mit App in cooperation mit Ryd 
Der einzige Nachteil war das ich nach Fahrzeugwechsel nicht einfach das Fahrzeug in der Versicherung ändern konnte ( ist bei anderen Versicherungen möglich)",10/18/2018 19:32,4,5
Benedikt C.,"Die Vertragsunterlagen sind leicht verständlich.
Negatives ist mir nicht bekannt.",10/18/2018 19:11,5,5
Vinko K.,Alles gut,10/18/2018 17:42,5,5
Francesco V.,der preis,10/18/2018 17:06,4,5
Arnold C.,"Zügige Bearbeitung nach der Schadenmeldung; schnell, kompetent, zielorientiert",10/18/2018 16:34,5,5
Rene P.,Kann ich nivhts zu sagen hab es nicht gebraucht,10/18/2018 16:13,4,5
Constance O.,"Service, guter und fairer Preis",10/18/2018 15:58,5,5
Reiner G.,Alles o.k.,10/18/2018 15:20,5,5
Antonia D.,Sehr günstig,10/18/2018 14:19,5,5
Hartmut O.,Alles super,10/18/2018 10:32,5,5
stefan g.,es kommt zu keine vetrag,10/19/2018 16:53,1,5
