Review,Aspects,Sentiments
"Alles, wie immer, zu meiner vollsten Zufriedenheit verlaufen.",,positive
"1.Wenn ich schon mit einem Termin in die Werkstatt komme, so sollte dieser auch m”glichst eingehalten werden. 2. Da ich bereits einige Tage vorher in der Werkstatt war, wurde mir ein Ersatzteilpreis versprochen, der aber leider nicht eingehalt","Termin,Ersatzteilpreis",negative
"Termineinhaltung ..... Hol und Bringservice dauert einfach zu lange. Habe das Gefhl gehabt das kleine M„ngel versucht wurden abzuweisen, wobei der Service Annehmer sehr freundlich war","Bringservice, einfach, Service, freundlich, M„ngel",neutral
"Termin fr einen Reifenwechsel erst nach 3,5 Wochen erhalten und das sogar eher weil man den Brckentag 30.04. vereinbart hatte sonst w„re der Termin noch eine Woche sp„ter gewesen. 3Std. gewartet bis das Fahrzeug fertig war. Es msste noch eine Rckruf","Termin,gewartet,Rckruf",negative
Einfach so weitermachen. Alles bestens.,"Einfach, bestens",positive
Man sollte in Ihrem Haus ber die Einhaltung von Terminen nachdenken! 2 Std. fr R„derwechsel trotz Termins ist ein Zeichen von schlechter Organisation!!! Ich war an diesem Tag nicht der einzigste unzufriedene Kunde.Werde ber den wechsel in eine andere W,"Kunde, Termin",negative
"Es war alles Bestens, noch besser kann man einen solchen Termin nicht gestalten.","Bestens,Termin",neutral
Ich war mit der Werkstatt bestens zufrieden.,"bestens, zufrieden",positive
Ich war bei Senger in Rheine. Es war alles ok.,Rheine,positive
Ich bin mit dem Service gut zufrieden.,"Service, zufrieden",positive
"Es war alles bestens, wir k”nnen uns nicht beschweren.",bestens,positive
War beim Reifenwechsel. Alles gut,Reifenwechsel,positive
Es war alles zu meiner Zufriedenheit. Ich konnte warten.,,positive
Wir haben keinen Grund zur Klage.,,positive
"Ich war in der Werkstatt zum Reifenwechsel. Hat gut geklappt, ich konnte darauf warten.",Reifenwechsel,positive
Es war alles zu meiner Zufriedenheit. Ich konnte warten.,,positive
War beim Reifenwechsel. Alles gut,Reifenwechsel,positive
Alles wie besprochen erledigt. Dankesch”n.,,positive
"Es hat gut geklappt, ich konnte auf mein Fahrzeug warten.",,positive
Es ist alles in Ordnung gewesen.,in Ordnung,positive
Gute und bekannte Werkstatt.,,positive
"Trotz Termin hat das Reifen wechseln 1,5 h. lang gedauert. Die Sommerreifen wollte ich mitnehmen, habe ich auch vorher angegeben, nur leider lagen die nicht im Kofferraum. Da musste ich dann auch noch drauf warten.",,negative
"Es hat alles bestens geklappt, ich habe keinen Grund zur Klage.",bestens,positive
Es hat alles hervorragend geklappt. Ich bin „uáerst gut zufrieden. Toller Service und sehr netter Kontakt,"zufrieden, Service, netter, Kontakt",positive
Wie gewohnt super Service.,"super, Service",positive
Ich war mit der Werkstatt bestens zufrieden.,"bestens, zufrieden, Werkstatt",positive
Es war alles zu meiner Zufriedenheit. Ich konnte warten.,,positive
Wir haben keinen Grund zur Klage.,,positive
Guter Werkstattservice - wir sind sehr zufrieden.,"Werkstattservice, zufrieden",positive
