Review,Aspects,Sentiments
Es ist alles in Ordnung gewesen.,in Ordnung,positive
Ich war mit dem Werkstattbesuch zufrieden,"zufrieden,Werkstattbesuch",positive
Hat alles gepasst. Dankesch�n.,alles gepasst,positive
Ich vergebe 5 Sterne.,5 Sterne,positive
Autohaus ist Top. Werkstatt auch.,"Top,Autohaus,Werkstatt",positive
Wir k�nnen nicht klagen.,nicht klagen,positive
Mercedes Senger - einfach gut.,"einfach,Mercedes Senger",positive
alles in Ordnung,in Ordnung,positive
Alles in Ordnung - komme wieder.,in Ordnung,positive
Ich war mit dem Werkstattbesuch zufrieden. Allerdings habe man ziemlich lange warten m�ssen.,"zufrieden,Werkstattbesuch, lange warten",neutral
Es war alles bestens - gerne wieder.,"bestens,gerne wieder",positive
Ich bin zufrieden mit dem Service gewesen.,"zufrieden, Service",positive
"Mit dem Service-Berater und den durchgef�hrten Arbeiten bin ich ganz gut zufrieden. Allerdings l�sst die Administration sehr zu w�nschen �brig. Es muss noch etwas bzgl. der Rg. gekl�rt werden. Es ist aber sehr schwierig, immer den richtigen Ansprechpartner zu bekommen.","zufrieden,Service-Berater, Arbeiten, Administration, Ansprechpartner",positive
"Ich war mit dem Werkstattbesuch zufrieden. Ich bem�ngel (bin im Besitz eines VIP-Passes) bei allen Werkstattbesuchen in den vergangen Jahren (2013, 2014,2015) war es nicht einmal m�glich w�hrend des Werkstattbesuches ein Ersatzfahrzeug zu bekommen. Angeblich gerade nie eines zu Verf�gung.","zufrieden,Werkstattbesuch, VIP-Passes, Ersatzfahrzeug",negative
Wir k�nnen nicht klagen. Dankesch�n.,nicht klagen,positive
Ich war mit dem Werkstattbesuch zufrieden. Leider wurde das Auto nicht gewaschen.,"zufrieden,Werkstattbesuch, Auto, nicht gewaschen",negative
Keine Klagen. Vielen Dank.,Keine Klagen,positive
